,ATB,ref,ouverture,cloture
2019-10-24,,"4,290","4,210","4,280"
2019-10-25,,"4,280","4,210","4,220"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"4,220","4,290","4,280"
2019-10-29,,"4,280","4,200","4,190"
2019-10-30,,"4,190","4,110","4,180"
2019-10-31,,"4,180","4,120","4,200"
2019-11-01,,"4,200","4,120","4,190"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"4,190","4,100","4,100"
2019-11-05,,"4,100","4,100","4,150"
2019-11-06,,"4,150","4,110","4,140"
2019-11-07,,"4,140","4,070","4,150"
2019-11-08,,"4,150","4,100","4,250"
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"4,250","4,130","4,200"
2019-11-12,,"4,200","4,120","4,200"
2019-11-13,,"4,200","4,120","4,210"
2019-11-14,,"4,210","4,150","4,200"
2019-11-15,,"4,200","4,270","4,250"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"4,250","4,150","4,240"
2019-11-19,,"4,240","4,150","4,200"
2019-11-20,,"4,200","4,270","4,200"
2019-11-21,,"4,200","4,270","4,200"
2019-11-22,,"4,200","4,240","4,200"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"4,200","4,180","4,180"
2019-11-26,,"4,180","4,190","4,150"
2019-11-27,,"4,150",,
2019-11-28,,"4,150","4,190","4,150"
2019-11-29,,"4,150","4,190","4,070"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"4,070","4,200","4,070"
2019-12-03,,"4,070","4,100","4,090"
2019-12-04,,"4,090","4,070","4,050"
2019-12-05,,"4,050","4,020","4,090"
2019-12-06,,"4,090","4,050","4,080"
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"4,080","4,080","4,030"
2019-12-10,,"4,030","4,000","4,030"
2019-12-11,,"4,030","3,950","4,020"
2019-12-12,,"4,020","3,950","3,900"
2019-12-13,,"3,900","3,990","3,950"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"3,950","3,950","3,900"
2019-12-17,,"3,900","3,900","3,820"
2019-12-18,,"3,820","3,820","3,820"
2019-12-19,,"3,820","3,820","3,890"
2019-12-20,,"3,890","3,890","3,900"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"3,900","3,850","3,850"
2019-12-24,,"3,850","3,850","3,900"
2019-12-25,,"3,900","3,900","4,000"
2019-12-26,,"4,000","4,080","4,000"
2019-12-27,,"4,000","4,000","4,000"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"4,000","4,060","4,060"
2019-12-31,,"4,060","4,000","4,060"
2020-01-01,,,,
2020-01-02,,"4,060",,
2020-01-03,,"4,060","4,050","4,050"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"4,050","4,050","4,290"
2020-01-07,,"4,290","4,250","4,210"
2020-01-08,,"4,210",,
2020-01-09,,"4,210","4,190","4,090"
2020-01-10,,"4,090","4,000","3,970"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"3,970",,
2020-01-14,,,,
2020-01-15,,"3,970","4,000","3,960"
2020-01-16,,"3,960","3,960","3,960"
2020-01-17,,"3,960","3,860","3,850"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"3,850","3,950","3,960"
2020-01-21,,"3,960","3,950","4,000"
2020-01-22,,"4,000","4,000","4,060"
2020-01-23,,"4,060","4,100","3,960"
2020-01-24,,"3,960","3,950","4,000"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"4,000","4,000","4,040"
2020-01-28,,"4,040","4,120","4,090"
2020-01-29,,"4,090","4,120","4,000"
2020-01-30,,"4,000","4,020","4,000"
2020-01-31,,"4,000","3,970","4,000"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"4,000","3,970","4,000"
2020-02-04,,"4,000","4,000","3,990"
2020-02-05,,"3,990","3,930","3,990"
2020-02-06,,"3,990",,
2020-02-07,,"3,990","3,930","4,000"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"4,000","3,930","4,000"
2020-02-11,,"4,000","3,920","3,930"
2020-02-12,,"3,930","3,930","3,950"
2020-02-13,,"3,950","3,950","3,980"
2020-02-14,,"3,980","3,980","3,980"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"3,870","3,820","3,820"
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
