,tijari,ref,ouverture,cloture
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"32,000","31,710","31,900"
2019-11-12,,"31,900","31,990","31,980"
2019-11-13,,"31,980","31,900","31,900"
2019-11-14,,"31,900","31,900","31,900"
2019-11-15,,"31,900","31,900","31,890"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"31,890",,
2019-11-19,,"31,890","31,900","31,780"
2019-11-20,,"31,780","31,900","31,580"
2019-11-21,,"31,580","31,580","31,500"
2019-11-22,,"31,500","31,500","31,500"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"31,500","31,500","31,500"
2019-11-26,,"31,500","31,500","31,400"
2019-11-27,,"31,400","31,200","30,470"
2019-11-28,,"30,470","30,000","31,400"
2019-11-29,,"31,400","31,400","31,400"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"31,400","31,400","31,900"
2019-12-03,,"31,900","31,900","31,500"
2019-12-04,,"31,500","31,900","31,500"
2019-12-05,,"31,500","31,490","31,510"
2019-12-06,,"31,510","32,000","31,500"
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"31,500","31,900","31,900"
2019-12-10,,"31,900","31,900","31,900"
2019-12-11,,"31,900","31,800","31,500"
2019-12-12,,"31,500","31,000","31,750"
2019-12-13,,"31,750","31,500","31,720"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"31,720","31,740","31,480"
2019-12-17,,"31,480","31,480","31,740"
2019-12-18,,"31,740","31,700","31,670"
2019-12-19,,"31,670","31,670","31,670"
2019-12-20,,"31,670","31,670","31,670"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"31,670","31,400","31,670"
2019-12-24,,"31,670","31,670","31,500"
2019-12-25,,"31,500","31,500","32,000"
2019-12-26,,"32,000","32,000","32,300"
2019-12-27,,"32,300","31,600","32,550"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"32,550","33,990","33,700"
2019-12-31,,"33,700","33,000","32,690"
2020-01-01,,,,
2020-01-02,,"32,690","32,400","32,000"
2020-01-03,,"32,000","31,350","31,400"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"31,400","31,400","31,000"
2020-01-07,,"31,000","30,700","30,530"
2020-01-08,,"30,530","30,510","30,000"
2020-01-09,,"30,000","30,000","30,020"
2020-01-10,,"30,020","29,950","30,270"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"30,270","30,200","31,170"
2020-01-14,,,,
2020-01-15,,"31,170","31,390","31,200"
2020-01-16,,"31,200","31,200","31,010"
2020-01-17,,"31,010","31,200","30,950"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"30,950","30,950","31,200"
2020-01-21,,"31,200","31,200","31,000"
2020-01-22,,"31,000","30,950","31,050"
2020-01-23,,"31,050","31,200","30,900"
2020-01-24,,"30,900","30,720","31,180"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"31,180","31,140","31,000"
2020-01-28,,"31,000","30,970","30,800"
2020-01-29,,"30,800","30,800","30,800"
2020-01-30,,"30,800","30,800","30,800"
2020-01-31,,"30,800","30,800","30,800"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"30,800","30,800","31,200"
2020-02-04,,"31,200","31,000","31,000"
2020-02-05,,"31,000","31,000","30,850"
2020-02-06,,"30,850","30,990","30,800"
2020-02-07,,"30,800","30,610","30,990"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"30,990","30,990","30,990"
2020-02-11,,"30,990","30,980","30,980"
2020-02-12,,"30,980","30,980","30,980"
2020-02-13,,"30,980","30,600","30,980"
2020-02-14,,"30,980","31,000","31,200"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"30,650","30,700","30,700"
2020-02-27,,,,
2020-02-28,,,,
