,City Cars,ref,ouverture,cloture
2020-02-04,,"7,500","7,500","7,450"
2020-02-05,,"7,450","7,500","7,450"
2020-02-06,,"7,450","7,500","7,400"
2020-02-07,,"7,400","7,400","7,400"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"7,400","7,480","7,480"
2020-02-11,,"7,480","7,500","7,600"
2020-02-12,,"7,600","7,600","7,580"
2020-02-13,,"7,580","7,600","7,600"
2020-02-14,,"7,600","7,490","7,570"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"7,600","7,600","7,600"
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,"7,800","7,800","7,700"
2020-03-06,,"7,700","7,600","7,740"
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,"7,740","7,730","7,700"
2020-03-10,,"7,700","7,730","7,620"
2020-03-11,,"7,620","7,690","7,680"
2020-03-12,,"7,680","7,670","7,670"
2020-03-13,,"7,670","7,440","7,440"
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,"7,440","7,250","7,410"
2020-03-17,,"7,410","7,080","7,080"
2020-03-18,,"7,080","7,190","7,150"
2020-03-19,,"7,150","7,360","7,190"
2020-03-20,,,,
2020-03-21,,,,
2020-03-22,,,,
