,STAR,ref,ouverture,cloture
2019-08-20,,"132,000","134,000","134,000"
2019-08-21,,"134,000",,
2019-08-22,,"134,000",,
2019-08-23,,"134,000",,
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"134,000",,
2019-08-27,,"134,000",,
2019-08-28,,"134,000",,
2019-08-29,,"134,000",,
2019-08-30,,"134,000","130,000","130,000"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"130,000","129,000","127,000"
2019-09-03,,"127,000","130,810","130,810"
2019-09-04,,"130,810","132,000","132,000"
2019-09-05,,"132,000",,
2019-09-06,,"132,000",,
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"132,180",,
2019-09-12,,"132,180",,
2019-09-13,,"132,180","126,240","131,870"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"131,870","126,000","126,000"
2019-09-17,,"126,000","129,780","129,780"
2019-09-18,,"129,780","126,000","132,000"
2019-09-19,,"132,000",,
2019-09-20,,"132,000","130,000","132,000"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"132,000",,
2019-09-24,,"132,000",,
2019-09-25,,"132,000","132,000","135,500"
2019-09-26,,"135,500","138,730","138,740"
2019-09-27,,"138,740","134,600","134,600"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"134,600",,
2019-10-01,,"134,600","130,600","130,600"
2019-10-02,,"130,600","127,000","134,500"
2019-10-03,,"134,500","131,000","137,000"
2019-10-04,,"137,000","136,990","133,000"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"133,000","136,990","136,990"
2019-10-08,,"136,990","136,990","137,000"
2019-10-09,,"137,000",,
2019-10-10,,"137,000",,
2019-10-11,,"137,000","133,000","137,000"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"137,000","137,000","137,000"
2019-10-15,,,,
2019-10-16,,"137,000",,
2019-10-17,,"137,000","137,000","139,000"
2019-10-18,,"139,000","138,000","139,000"
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"139,000",,
2019-10-22,,"139,000",,
2019-10-23,,"139,000",,
2019-10-24,,"139,000","139,000","139,000"
2019-10-25,,"139,000",,
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"139,000",,
2019-10-29,,"139,000",,
2019-10-30,,"139,000",,
2019-10-31,,"132,750","131,000","134,900"
2019-11-01,,"134,900","134,790","134,790"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"134,790",,
2019-11-05,,"134,790",,
2019-11-06,,"134,790","132,500","134,000"
2019-11-07,,"134,000","134,000","134,000"
2019-11-08,,"134,000",,
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"134,000",,
2019-11-12,,"134,000",,
2019-11-13,,"134,000",,
2019-11-14,,"134,000","134,000","134,000"
2019-11-15,,"134,000",,
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"134,000",,
2019-11-19,,"134,000",,
2019-11-20,,"134,000",,
2019-11-21,,"134,000",,
2019-11-22,,"134,000",,
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"134,000",,
2019-11-26,,"134,000",,
2019-11-27,,"134,000","131,500","133,000"
2019-11-28,,"133,000",,
2019-11-29,,"133,000","133,000","134,780"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"134,780",,
2019-12-03,,"134,780","138,790","138,790"
2019-12-04,,"138,790",,
2019-12-05,,"138,790",,
2019-12-06,,"138,790",,
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"138,790",,
2019-12-10,,"138,790",,
2019-12-11,,"138,790",,
2019-12-12,,"138,790","137,000","138,790"
2019-12-13,,"138,790","138,790","140,400"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"140,400",,
2019-12-17,,"140,400",,
2019-12-18,,"140,400","139,880","140,380"
2019-12-19,,"140,380","140,400","142,000"
2019-12-20,,"142,000",,
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"142,000",,
2019-12-24,,"142,000","140,990","141,000"
2019-12-25,,"141,000","140,900","142,000"
2019-12-26,,"142,000","143,990","141,000"
2019-12-27,,"141,000","141,000","142,000"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"142,000","143,400","141,400"
2019-12-31,,"141,400","141,000","137,160"
2020-01-01,,,,
2020-01-02,,,,
2020-01-03,,,,
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,,,
2020-01-07,,,,
2020-01-08,,,,
2020-01-09,,,,
2020-01-10,,,,
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,,,
2020-01-14,,,,
2020-01-15,,,,
2020-01-16,,,,
2020-01-17,,,,
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,,,
2020-01-21,,,,
2020-01-22,,,,
2020-01-23,,,,
2020-01-24,,,,
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,,,
2020-01-28,,,,
2020-01-29,,,,
2020-01-30,,,,
2020-01-31,,,,
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,,,
2020-02-04,,,,
2020-02-05,,,,
2020-02-06,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,,,
2020-03-10,,,,
2020-03-11,,,,
2020-03-12,,,,
2020-03-13,,,,
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,,,
2020-03-17,,,,
2020-03-18,,,,
2020-03-19,,,,
2020-03-20,,,,
2020-03-21,,,,
2020-03-22,,,,
2020-03-23,,,,
2020-03-24,,,,
2020-03-25,,,,
2020-03-26,,,,
2020-03-27,,,,
2020-03-28,,,,
2020-03-29,,,,
2020-03-30,,,,
2020-03-31,,,,
2020-04-01,,,,
2020-04-02,,,,
2020-04-03,,,,
2020-04-04,,,,
2020-04-05,,,,
2020-04-06,,,,
2020-04-07,,,,
2020-04-08,,,,
2020-04-09,,,,
2020-04-10,,,,
2020-04-11,,,,
2020-04-12,,,,
2020-04-13,,,,
2020-04-14,,,,
2020-04-15,,,,
2020-04-16,,,,
2020-04-17,,,,
2020-04-18,,,,
2020-04-19,,,,
2020-04-20,,,,
2020-04-21,,,,
2020-04-22,,,,
2020-04-23,,,,
2020-04-24,,,,
2020-04-25,,,,
2020-04-26,,,,
2020-04-27,,,,
2020-04-28,,,,
2020-04-29,,,,
2020-04-30,,,,
2020-05-01,,,,
2020-05-02,,,,
2020-05-03,,,,
2020-05-04,,,,
2020-05-05,,,,
2020-05-06,,,,
2020-05-07,,,,
2020-05-08,,,,
2020-05-09,,,,
2020-05-10,,,,
2020-05-11,,,,
2020-05-12,,,,
2020-05-13,,,,
2020-05-14,,,,
2020-05-15,,,,
2020-05-16,,,,
2020-05-17,,,,
2020-05-18,,,,
2020-05-19,,,,
2020-05-20,,,,
2020-05-21,,,,
2020-05-22,,,,
2020-05-23,,,,
2020-05-24,,,,
2020-05-25,,,,
2020-05-26,,,,
