,TIL,ref,ouverture,cloture
2020-04-11,,,,
2020-04-12,,,,
2020-04-13,,"9,700",,
2020-04-14,,"9,700","9,450","9,410"
2020-04-15,,"9,410",,
2020-04-16,,"9,410",,
2020-04-17,,"9,410",,
2020-04-18,,,,
2020-04-19,,,,
2020-04-20,,"9,410","9,350","9,350"
2020-04-21,,"9,350","9,350","9,350"
2020-04-22,,"9,350","9,070","9,070"
2020-04-23,,"9,070","9,000","9,000"
2020-04-24,,"9,000","8,900","8,900"
2020-04-25,,,,
2020-04-26,,,,
2020-04-27,,"8,900","8,800","8,900"
2020-04-28,,"8,900",,
2020-04-29,,"8,900",,
2020-04-30,,"8,900",,
2020-05-01,,,,
2020-05-02,,,,
2020-05-03,,,,
2020-05-04,,"8,900",,
2020-05-05,,"8,900",,
2020-05-06,,"8,900",,
2020-05-07,,"8,900",,
2020-05-08,,"8,900",,
2020-05-09,,,,
2020-05-10,,,,
2020-05-11,,"8,900","8,710","8,710"
2020-05-12,,"8,710","8,710","8,710"
