,ESSOUKNA,ref,ouverture,cloture
2019-12-09,,"2,010","2,010","2,020"
2019-12-10,,"2,020","2,110","2,110"
2019-12-11,,"2,110","2,050","2,050"
2019-12-12,,"2,050","2,070","2,010"
2019-12-13,,"2,010","1,990","2,070"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"2,070","2,070","2,070"
2019-12-17,,"2,070","2,070","2,040"
2019-12-18,,"2,040","2,040","2,030"
2019-12-19,,"2,030","2,030","2,010"
2019-12-20,,"2,010","2,070","2,070"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"2,070","2,070","2,070"
2019-12-24,,"2,070","2,070","2,100"
2019-12-25,,"2,100","2,090","2,090"
2019-12-26,,"2,090","2,080","2,140"
2019-12-27,,"2,140","2,080","2,130"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"2,130","2,190","2,180"
2019-12-31,,"2,180","2,180","2,160"
2020-01-01,,,,
2020-01-02,,"2,160","2,180","2,160"
2020-01-03,,"2,160","2,100","2,180"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"2,100","2,100","2,050"
2020-01-07,,"2,050","2,050","2,110"
2020-01-08,,"2,110","2,160","2,160"
2020-01-09,,"2,160","2,220","2,280"
2020-01-10,,"2,280","2,290","2,330"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"2,330","2,380","2,330"
2020-01-14,,,,
2020-01-15,,"2,330","2,350","2,420"
2020-01-16,,"2,420","2,400","2,450"
2020-01-17,,"2,450","2,400","2,470"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"2,470","2,500","2,570"
2020-01-21,,"2,570","2,600","2,660"
2020-01-22,,"2,660","2,700","2,720"
2020-01-23,,"2,720","2,750","2,770"
2020-01-24,,"2,670","2,590","2,590"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"2,590","2,660","2,690"
2020-01-28,,"2,690","2,680","2,620"
2020-01-29,,"2,620","2,670","2,610"
2020-01-30,,"2,510","2,580","2,510"
2020-01-31,,"2,510","2,500","2,500"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"2,500","2,500","2,490"
2020-02-04,,"2,490","2,560","2,490"
2020-02-05,,"2,490","2,560","2,420"
2020-02-06,,"2,420","2,350","2,380"
2020-02-07,,"2,380","2,280","2,340"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"2,340","2,360","2,390"
2020-02-11,,"2,390","2,420","2,320"
2020-02-12,,"2,320","2,380","2,400"
2020-02-13,,"2,400","2,380","2,380"
2020-02-14,,"2,310","2,370","2,280"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"2,480","2,480","2,480"
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,"2,630","2,630","2,630"
2020-03-06,,"2,630","2,630","2,600"
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,"2,600","2,580","2,510"
2020-03-10,,"2,510","2,470","2,400"
2020-03-11,,"2,400","2,500","2,470"
2020-03-12,,"2,470","2,510","2,500"
2020-03-13,,"2,500","2,570","2,400"
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,"2,400",,
2020-03-17,,"2,300","2,300","2,240"
2020-03-18,,"2,240","2,180","2,180"
2020-03-19,,"2,180",,
2020-03-20,,,,
2020-03-21,,,,
2020-03-22,,,,
2020-03-23,,"2,120","2,120","2,060"
2020-03-24,,"2,060","2,060","2,100"
2020-03-25,,"2,100","2,040","2,100"
